<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURCHF,20010103,00:00:00,1.5201,1.5201,1.5214,1.5211
EURCHF,20010103,01:00:00,1.5202,1.5200,1.5212,1.5208
EURCHF,20010103,02:00:00,1.5208,1.5205,1.5210,1.5208
EURCHF,20010103,03:00:00,1.5208,1.5204,1.5215,1.5213
EURCHF,20010103,04:00:00,1.5212,1.5205,1.5217,1.5205
EURCHF,20010103,05:00:00,1.5204,1.5204,1.5210,1.5209
EURCHF,20010103,06:00:00,1.5209,1.5207,1.5211,1.5208
EURCHF,20010103,07:00:00,1.5208,1.5203,1.5212,1.5208
EURCHF,20010103,08:00:00,1.5208,1.5197,1.5220,1.5216
EURCHF,20010103,09:00:00,1.5217,1.5207,1.5226,1.5211
EURCHF,20010103,10:00:00,1.5210,1.5199,1.5220,1.5220
EURCHF,20010103,11:00:00,1.5220,1.5216,1.5235,1.5225
EURCHF,20010103,12:00:00,1.5224,1.5207,1.5224,1.5211
EURCHF,20010103,13:00:00,1.5210,1.5209,1.5225,1.5216
EURCHF,20010103,14:00:00,1.5214,1.5197,1.5220,1.5200
EURCHF,20010103,15:00:00,1.5199,1.5192,1.5226,1.5204
EURCHF,20010103,16:00:00,1.5203,1.5182,1.5220,1.5190
EURCHF,20010103,17:00:00,1.5189,1.5169,1.5193,1.5178
EURCHF,20010103,18:00:00,1.5176,1.5146,1.5179,1.5148
EURCHF,20010103,19:00:00,1.5151,1.5110,1.5161,1.5131
EURCHF,20010103,20:00:00,1.5132,1.5120,1.5168,1.5139
EURCHF,20010103,21:00:00,1.5140,1.5127,1.5146,1.5137
EURCHF,20010103,22:00:00,1.5137,1.5122,1.5140,1.5128
EURCHF,20010103,23:00:00,1.5128,1.5123,1.5131,1.5126
EURCHF,20010104,00:00:00,1.5128,1.5123,1.5135,1.5135
EURCHF,20010104,01:00:00,1.5135,1.5125,1.5137,1.5129
EURCHF,20010104,02:00:00,1.5130,1.5127,1.5139,1.5128
EURCHF,20010104,03:00:00,1.5129,1.5055,1.5138,1.5133
EURCHF,20010104,04:00:00,1.5134,1.5131,1.5138,1.5131
EURCHF,20010104,05:00:00,1.5131,1.5129,1.5136,1.5135
EURCHF,20010104,06:00:00,1.5136,1.5125,1.5141,1.5134
EURCHF,20010104,07:00:00,1.5135,1.5135,1.5152,1.5145
EURCHF,20010104,08:00:00,1.5146,1.5132,1.5155,1.5155
EURCHF,20010104,09:00:00,1.5154,1.5154,1.5201,1.5201
EURCHF,20010104,10:00:00,1.5200,1.5189,1.5216,1.5215
EURCHF,20010104,11:00:00,1.5217,1.5208,1.5230,1.5229
EURCHF,20010104,12:00:00,1.5227,1.5211,1.5230,1.5230
EURCHF,20010104,13:00:00,1.5228,1.5207,1.5234,1.5215
EURCHF,20010104,14:00:00,1.5214,1.5201,1.5217,1.5206
EURCHF,20010104,15:00:00,1.5207,1.5178,1.5209,1.5181
EURCHF,20010104,16:00:00,1.5182,1.5165,1.5195,1.5174
EURCHF,20010104,17:00:00,1.5173,1.5167,1.5229,1.5220
EURCHF,20010104,18:00:00,1.5223,1.5177,1.5224,1.5193
EURCHF,20010104,19:00:00,1.5195,1.5192,1.5243,1.5243
EURCHF,20010104,20:00:00,1.5242,1.5218,1.5242,1.5239
EURCHF,20010104,21:00:00,1.5238,1.5232,1.5244,1.5239
EURCHF,20010104,22:00:00,1.5240,1.5234,1.5248,1.5245
EURCHF,20010104,23:00:00,1.5244,1.5235,1.5248,1.5239
EURCHF,20010105,00:00:00,1.5239,1.5235,1.5257,1.5255
EURCHF,20010105,01:00:00,1.5255,1.5251,1.5264,1.5254
EURCHF,20010105,02:00:00,1.5255,1.5252,1.5264,1.5260
EURCHF,20010105,03:00:00,1.5259,1.5251,1.5262,1.5257
EURCHF,20010105,04:00:00,1.5257,1.5250,1.5264,1.5264
EURCHF,20010105,05:00:00,1.5264,1.5262,1.5274,1.5274
EURCHF,20010105,06:00:00,1.5273,1.5270,1.5285,1.5284
EURCHF,20010105,07:00:00,1.5283,1.5280,1.5292,1.5291
EURCHF,20010105,08:00:00,1.5291,1.5283,1.5326,1.5312
EURCHF,20010105,09:00:00,1.5311,1.5292,1.5315,1.5295
EURCHF,20010105,10:00:00,1.5294,1.5281,1.5300,1.5300
EURCHF,20010105,11:00:00,1.5299,1.5279,1.5300,1.5282
