<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20010103,00:00:00,0.9507,0.9262,0.9569,0.9271
EURUSD,20010104,00:00:00,0.9271,0.9269,0.9515,0.9507
EURUSD,20010105,00:00:00,0.9507,0.9464,0.9591,0.9575
EURUSD,20010108,00:00:00,0.9583,0.9462,0.9588,0.9467
EURUSD,20010109,00:00:00,0.9467,0.9384,0.9477,0.9437
EURUSD,20010110,00:00:00,0.9437,0.9361,0.9464,0.9366
EURUSD,20010111,00:00:00,0.9366,0.9364,0.9549,0.9521
EURUSD,20010112,00:00:00,0.9522,0.9468,0.9575,0.9508
EURUSD,20010115,00:00:00,0.9521,0.9408,0.9521,0.9431
EURUSD,20010116,00:00:00,0.9431,0.9371,0.9438,0.9421
EURUSD,20010117,00:00:00,0.9421,0.9288,0.9442,0.9360
EURUSD,20010118,00:00:00,0.9360,0.9352,0.9460,0.9424
EURUSD,20010119,00:00:00,0.9424,0.9337,0.9499,0.9346
EURUSD,20010122,00:00:00,0.9345,0.9269,0.9401,0.9383
EURUSD,20010123,00:00:00,0.9384,0.9343,0.9447,0.9346
EURUSD,20010124,00:00:00,0.9346,0.9209,0.9369,0.9239
EURUSD,20010125,00:00:00,0.9239,0.9114,0.9248,0.9244
EURUSD,20010126,00:00:00,0.9244,0.9198,0.9314,0.9243
EURUSD,20010129,00:00:00,0.9236,0.9159,0.9258,0.9170
EURUSD,20010130,00:00:00,0.9169,0.9143,0.9276,0.9262
EURUSD,20010131,00:00:00,0.9262,0.9253,0.9374,0.9374
EURUSD,20010201,00:00:00,0.9374,0.9365,0.9442,0.9374
EURUSD,20010202,00:00:00,0.9369,0.9318,0.9417,0.9357
EURUSD,20010205,00:00:00,0.9351,0.9351,0.9438,0.9380
EURUSD,20010206,00:00:00,0.9380,0.9283,0.9383,0.9311
EURUSD,20010207,00:00:00,0.9311,0.9257,0.9347,0.9285
EURUSD,20010208,00:00:00,0.9285,0.9149,0.9298,0.9182
EURUSD,20010209,00:00:00,0.9182,0.9131,0.9270,0.9253
EURUSD,20010212,00:00:00,0.9254,0.9247,0.9327,0.9321
EURUSD,20010213,00:00:00,0.9321,0.9170,0.9327,0.9205
EURUSD,20010214,00:00:00,0.9204,0.9164,0.9216,0.9178
EURUSD,20010215,00:00:00,0.9179,0.9024,0.9193,0.9053
EURUSD,20010216,00:00:00,0.9054,0.9050,0.9172,0.9146
EURUSD,20010219,00:00:00,0.9126,0.9120,0.9233,0.9211
EURUSD,20010220,00:00:00,0.9211,0.9049,0.9236,0.9104
EURUSD,20010221,00:00:00,0.9104,0.9056,0.9180,0.9096
EURUSD,20010222,00:00:00,0.9095,0.9014,0.9128,0.9031
EURUSD,20010223,00:00:00,0.9031,0.9025,0.9204,0.9169
EURUSD,20010226,00:00:00,0.9173,0.9078,0.9183,0.9103
EURUSD,20010227,00:00:00,0.9103,0.9082,0.9203,0.9182
EURUSD,20010228,00:00:00,0.9182,0.9160,0.9253,0.9233
EURUSD,20010301,00:00:00,0.9233,0.9225,0.9318,0.9305
EURUSD,20010302,00:00:00,0.9305,0.9288,0.9377,0.9348
EURUSD,20010305,00:00:00,0.9361,0.9264,0.9364,0.9264
EURUSD,20010306,00:00:00,0.9263,0.9250,0.9345,0.9338
EURUSD,20010307,00:00:00,0.9337,0.9262,0.9368,0.9292
EURUSD,20010308,00:00:00,0.9293,0.9271,0.9337,0.9320
EURUSD,20010309,00:00:00,0.9320,0.9292,0.9370,0.9322
EURUSD,20010312,00:00:00,0.9316,0.9258,0.9339,0.9293
EURUSD,20010313,00:00:00,0.9293,0.9128,0.9298,0.9146
EURUSD,20010314,00:00:00,0.9147,0.9077,0.9207,0.9114
EURUSD,20010315,00:00:00,0.9114,0.8953,0.9124,0.8977
EURUSD,20010316,00:00:00,0.8977,0.8913,0.8999,0.8958
EURUSD,20010319,00:00:00,0.8967,0.8933,0.9017,0.8993
EURUSD,20010320,00:00:00,0.8992,0.8985,0.9115,0.9111
EURUSD,20010321,00:00:00,0.9111,0.8932,0.9120,0.8959
EURUSD,20010322,00:00:00,0.8959,0.8832,0.8963,0.8882
EURUSD,20010323,00:00:00,0.8882,0.8852,0.8964,0.8894
EURUSD,20010326,00:00:00,0.8908,0.8885,0.8967,0.8961
EURUSD,20010327,00:00:00,0.8961,0.8896,0.8989,0.8931
EURUSD,20010328,00:00:00,0.8931,0.8844,0.8944,0.8860
EURUSD,20010329,00:00:00,0.8860,0.8796,0.8882,0.8831
EURUSD,20010330,00:00:00,0.8831,0.8748,0.8873,0.8770
EURUSD,20010402,00:00:00,0.8742,0.8735,0.8832,0.8793
EURUSD,20010403,00:00:00,0.8793,0.8793,0.8983,0.8973
EURUSD,20010404,00:00:00,0.8973,0.8933,0.9047,0.9012
EURUSD,20010405,00:00:00,0.9011,0.8942,0.9086,0.8968
EURUSD,20010406,00:00:00,0.8968,0.8924,0.9046,0.9031
EURUSD,20010409,00:00:00,0.9033,0.8960,0.9045,0.8963
EURUSD,20010410,00:00:00,0.8963,0.8865,0.8990,0.8887
EURUSD,20010411,00:00:00,0.8887,0.8809,0.8913,0.8880
EURUSD,20010412,00:00:00,0.8880,0.8835,0.8940,0.8925
EURUSD,20010413,00:00:00,0.8925,0.8925,0.8925,0.8925
EURUSD,20010416,00:00:00,0.8886,0.8837,0.8900,0.8887
EURUSD,20010417,00:00:00,0.8887,0.8775,0.8907,0.8834
EURUSD,20010418,00:00:00,0.8835,0.8698,0.8893,0.8837
EURUSD,20010419,00:00:00,0.8837,0.8805,0.8985,0.8976
EURUSD,20010420,00:00:00,0.8975,0.8952,0.9045,0.9026
EURUSD,20010423,00:00:00,0.9012,0.8945,0.9077,0.8966
